eeschema (2014-01-10 BZR 4027)-stable  >> Creation date: Wednesday, May 13, 2015 'pmt' 12:12:27 pm
#Cmp ( order = Reference )
| AE1        ANTENNA     ; H9161CT-ND  ;             
| AE2        ANTENNA     ; ANT-418-SP-ND;             
| C1         0.1uF       ; 1276-1012-1-ND;             
| C2         0.1uF       ; 1276-1012-1-ND;             
| C3         0.1uF       ; 1276-1012-1-ND;             
| C4         0.1uF       ; 1276-1012-1-ND;             
| C5         0.1uF       ; 1276-1012-1-ND;             
| C6         0.1uF       ; 1276-1012-1-ND;             
| C7         470uF       ; 493-6225-2-ND;             
| C8         18pF        ; 1276-1089-1-ND;             
| C9         18pF        ; 1276-1089-1-ND;             
| C10        1uF         ; 311-1445-1-ND;             
| C11        0.1uF       ; 1276-1012-1-ND;             
| C12        470uF       ; 493-6225-2-ND;             
| C13        0.1uF       ; 1276-1012-1-ND;             
| C14        0.1uF       ; 1276-1012-1-ND;             
| C15        10uF        ; 1276-1119-1-ND;             
| C16        0.1uF       ; 1276-1012-1-ND;             
| C17        470uF       ; 493-6225-2-ND;             
| C18        0.1uF       ; 1276-1012-1-ND;             
| C19        0.1uF       ; 1276-1012-1-ND;             
| C20        10uF        ; 1276-1119-1-ND;             
| C21        0.1uF       ; 1276-1012-1-ND;             
| C22        10uF        ; 1276-1119-1-ND;             
| C23        1uF         ; 311-1445-1-ND; 8.0         
| C24        1uF         ; 311-1445-1-ND; 8.0         
| C25        1uF         ; 311-1445-1-ND; 8.0         
| C26        470uF       ; 493-6225-2-ND;             
| C27        1uF         ; 311-1445-1-ND; 8.0         
| C28        1uF         ; 311-1445-1-ND; 8.0         
| C29        1uF         ; 311-1445-1-ND; 8.0         
| C30        1uF         ; 311-1445-1-ND; 8.0         
| CON1       USB-MINI-B  ; 151-1206-1-ND;             
| D1         GPS_FIX     ; 160-1447-1-ND;             
| D2         PESD5V0U2BT,215; 568-4296-1-ND;             
| D3         PESD5V0U2BT,215; 568-4296-1-ND;             
| D4         LEARN       ; 160-1447-1-ND;             
| D5         5.1v        ; BZX84C5V1LT3GOSCT-ND;             
| D6         5.1v        ; BZX84C5V1LT3GOSCT-ND;             
| D7         5.1v        ; BZX84C5V1LT3GOSCT-ND;             
| FID1       FIDUCIAL    ;             ;             
| FID2       FIDUCIAL    ;             ;             
| FID3       FIDUCIAL    ;             ;             
| JP1        JUMPER_SMALL; 5104K-ND    ;             
| JP2        JUMPER_SMALL; 5104K-ND    ;             
| JP3        JUMPER_SMALL; 5104K-ND    ;             
| JP4        JUMPER_SMALL; 5104K-ND    ;             
| JP5        JUMPER_SMALL; 5104K-ND    ;             
| JP6        JUMPER_SMALL; 5104K-ND    ;             
| K1         MOTOR_PORT  ;             ;             
| K2         MOTOR_STARBRD;             ;             
| K3         SWITCHES_AND_LEDS;             ;             
| K4         MOTOR_CENTER;             ;             
| K5         BATTERY     ;             ;             
| L1         FERRITE_BEAD; 732-1593-1-ND;             
| L2         FERRITE_BEAD; 732-1593-1-ND;             
| L3         FERRITE_BEAD; 732-1593-1-ND;             
| L4         FERRITE_BEAD; 732-1593-1-ND;             
| MP1        MOUNTING_HOLE;             ;             
| MP2        MOUNTING_HOLE;             ;             
| MP3        MOUNTING_HOLE;             ;             
| MP4        MOUNTING_HOLE;             ;             
| P1         ISP         ;             ;             
| Q1         MOSFET_P    ; 785-1222-1-ND;             
| R1         1k          ; RHM1.0KCGCT-ND;             
| R2         1k          ; RHM1.0KCGCT-ND;             
| R3         1k          ; RHM1.0KCGCT-ND;             
| R4         1k          ; RHM1.0KCGCT-ND;             
| R5         1k          ; RHM1.0KCGCT-ND;             
| R6         1k          ; RHM1.0KCGCT-ND;             
| R7         1k          ; RHM1.0KCGCT-ND;             
| R8         1k          ; RHM1.0KCGCT-ND;             
| R9         1k          ; RHM1.0KCGCT-ND;             
| R10        22          ; RHM22CGCT-ND;             
| R11        22          ; RHM22CGCT-ND;             
| R12        1k          ; RHM1.0KCGCT-ND;             
| R13        1k          ; RHM1.0KCGCT-ND;             
| R14        1k          ; RHM1.0KCGCT-ND;             
